"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pit-trial","37","253501","0.0-1.0-1.35-0.35","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","38","260501","0.0-1.0-1.36-0.36","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","39","267501","0.0-1.0-1.37-0.37","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","40","274501","0.0-1.0-1.38-0.38","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","41","281501","0.0-1.0-1.39-0.39","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","42","288501","0.0-1.0-1.40-0.40","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","43","295501","0.0-1.0-1.41-0.41","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","44","302501","0.0-1.0-1.42-0.42","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","45","309501","0.0-1.0-1.43-0.43","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","46","316501","0.0-1.0-1.44-0.44","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","47","336501","0.0-1.0-1.45-0.45","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","48","456501","0.0-1.0-1.46-0.46","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","49","576501","0.0-1.0-1.47-0.47","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","50","696501","0.0-1.0-1.48-0.48","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","51","816503","0.0-1.0-1.49-0.49","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","52","936501","0.0-1.0-1.50-0.50","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","53","1056501","0.0-1.0-1.51-0.51","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
