"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pit-trial","89","539172","0.0-89.0","battery-v0.2","","","-1","p","elianto","#3366ff99"," ","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","86","7","1","win","go","1"
"pit-trial","90","545398","0.0-90.0","battery-v0.2","","","-1","s","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","87","6","2","win","no-go","0"
"pit-trial","91","552229","0.0-91.0","battery-v0.2","","","-1","w","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","88","5","4","lose","no-go","0"
"pit-trial","92","558945","0.0-92.0","battery-v0.2","","","-1","w","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","89","5","4","lose","no-go","0"
"pit-trial","93","566136","0.0-93.0","battery-v0.2","","","-1","p","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","90","7","1","win","go","0"
"pit-trial","94","572848","0.0-94.0","battery-v0.2","","","-1","s","elianto","#3366ff99","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","91","6","2","win","no-go","1"
"pit-trial","95","579194","0.0-95.0","battery-v0.2","","","-1","e","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","92","4","3","lose","go","0"
"pit-trial","96","585958","0.0-96.0","battery-v0.2","","","-1","s","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","93","6","2","win","no-go","0"
"pit-trial","97","593062","0.0-97.0","battery-v0.2","","","-1","p","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","94","7","1","win","go","0"
"pit-trial","98","599958","0.0-98.0","battery-v0.2","","","-1","e","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","95","4","3","lose","go","0"
"pit-trial","99","607011","0.0-99.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","96","8","1","win","go","1"
"pit-trial","100","614145","0.0-100.0","battery-v0.2","","","-1","e","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","97","4","3","lose","go","0"
"pit-trial","101","620170","0.0-101.0","battery-v0.2","","","-1","s","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","98","6","2","win","no-go","0"
"pit-trial","102","626247","0.0-102.0","battery-v0.2","","","-1","p","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","99","7","1","win","go","0"
"pit-trial","103","632337","0.0-103.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","100","8","1","win","go","1"
"pit-trial","104","639505","0.0-104.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","101","8","1","win","go","0"
"pit-trial","105","646424","0.0-105.0","battery-v0.2","","","-1","p","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","102","7","1","win","go","0"
"pit-trial","106","653230","0.0-106.0","battery-v0.2","","","-1","s","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","103","6","2","win","no-go","0"
"pit-trial","107","659705","0.0-107.0","battery-v0.2","","","-1","a","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","104","9","2","win","no-go","0"
"pit-trial","108","666510","0.0-108.0","battery-v0.2","","","-1","s","elianto","#3366ff99","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","105","6","2","win","no-go","1"
"pit-trial","109","673111","0.0-109.0","battery-v0.2","","","-1","p","elianto","#3366ff99"," ","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","106","7","1","win","go","1"
"pit-trial","110","679347","0.0-110.0","battery-v0.2","","","-1","a","elianto","#3366ff99","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","107","9","2","win","no-go","1"
"pit-trial","111","686110","0.0-111.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","108","8","1","win","go","1"
"pit-trial","112","690970","0.0-112.0","battery-v0.2","","","-1","l","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","109","10","3","lose","go","0"
"pit-trial","113","695829","0.0-113.0","battery-v0.2","","","-1","a","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","110","9","2","win","no-go","0"
"pit-trial","114","701130","0.0-114.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","111","8","1","win","go","0"
"pit-trial","115","707785","0.0-115.0","battery-v0.2","","","-1","u","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","112","11","4","lose","no-go","0"
"pit-trial","116","712644","0.0-116.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","113","8","1","win","go","0"
"pit-trial","117","717508","0.0-117.0","battery-v0.2","","","-1","u","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","114","11","4","lose","no-go","0"
"pit-trial","118","722371","0.0-118.0","battery-v0.2","","","-1","a","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","115","9","2","win","no-go","0"
"pit-trial","119","727230","0.0-119.0","battery-v0.2","","","-1","l","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","116","10","3","lose","go","0"
"pit-trial","120","732085","0.0-120.0","battery-v0.2","","","-1","a","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","117","9","2","win","no-go","0"
"pit-trial","121","736943","0.0-121.0","battery-v0.2","","","-1","u","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","118","11","4","lose","no-go","0"
"pit-trial","122","741801","0.0-122.0","battery-v0.2","","","-1","l","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","119","10","3","lose","go","0"
"pit-trial","123","746660","0.0-123.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","120","8","1","win","go","0"
"pit-trial","124","751519","0.0-124.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","121","8","1","win","go","0"
"pit-trial","125","756382","0.0-125.0","battery-v0.2","","","-1","u","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","122","11","4","lose","no-go","0"
"pit-trial","126","761242","0.0-126.0","battery-v0.2","","","-1","a","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","123","9","2","win","no-go","0"
"pit-trial","127","766105","0.0-127.0","battery-v0.2","","","-1","l","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","124","10","3","lose","go","0"
"pit-trial","128","770964","0.0-128.0","battery-v0.2","","","-1","u","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","125","11","4","lose","no-go","0"
"pit-trial","129","775829","0.0-129.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","126","8","1","win","go","1"
"pit-trial","130","780692","0.0-130.0","battery-v0.2","","","-1","a","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","127","9","2","win","no-go","0"
"pit-trial","131","785556","0.0-131.0","battery-v0.2","","","-1","l","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","128","10","3","lose","go","0"
"pit-trial","132","790420","0.0-132.0","battery-v0.2","","","-1","l","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","129","10","3","lose","go","0"
"pit-trial","133","795284","0.0-133.0","battery-v0.2","","","-1","u","elianto","#f73b6a7A","-1","-1","1","-10","[]","0","3&age=8&participant_ID=5&order=1","2","130","11","4","lose","no-go","1"
"pit-trial","134","800147","0.0-134.0","battery-v0.2","","","-1","a","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","131","9","2","win","no-go","0"
