"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","sub","trial","stimulus","robot","valence","action","sham"
"pit-trial","157","1719965","0.0-98.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","94","5","3","lose","go","1"
"pit-trial","158","1724820","0.0-99.0","battery-v0.2","","","-1","","","h","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","95","8","4","lose","no-go","0"
"pit-trial","159","1729678","0.0-100.0","battery-v0.2","","","-1","","","z","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","96","7","4","lose","no-go","0"
"pit-trial","160","1734532","0.0-101.0","battery-v0.2","","","-1","","","h","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","97","8","4","lose","no-go","0"
"pit-trial","161","1739386","0.0-102.0","battery-v0.2","","","-1","","","z","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","98","7","4","lose","no-go","0"
"pit-trial","162","1744242","0.0-103.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","99","6","2","win","no-go","1"
"pit-trial","163","1749102","0.0-104.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","100","5","3","lose","go","1"
"pit-trial","164","1753958","0.0-105.0","battery-v0.2","","","-1","","","r","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","101","10","3","lose","go","0"
"pit-trial","165","1758817","0.0-106.0","battery-v0.2","","","-1","","","h","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","102","8","4","lose","no-go","0"
"pit-trial","166","1763676","0.0-107.0","battery-v0.2","","","-1","","","y","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","103","9","1","win","go","0"
"pit-trial","167","1768536","0.0-108.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","104","6","2","win","no-go","0"
"pit-trial","168","1773391","0.0-109.0","battery-v0.2","","","-1","","","r","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","105","10","3","lose","go","0"
"pit-trial","169","1778248","0.0-110.0","battery-v0.2","","","-1","","","h","elianto","#f73b6a7A","-1","-1","1","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","106","8","4","lose","no-go","1"
"pit-trial","170","1783107","0.0-111.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","107","6","2","win","no-go","0"
"pit-trial","171","1787966","0.0-112.0","battery-v0.2","","","-1","","","y","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","108","9","1","win","go","0"
"pit-trial","172","1792825","0.0-113.0","battery-v0.2","","","-1","","","h","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","109","8","4","lose","no-go","0"
"pit-trial","173","1797678","0.0-114.0","battery-v0.2","","","-1","","","m","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","110","11","1","win","go","0"
"pit-trial","174","1802535","0.0-115.0","battery-v0.2","","","-1","","","y","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","111","9","1","win","go","0"
"pit-trial","175","1807391","0.0-116.0","battery-v0.2","","","-1","","","r","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","112","10","3","lose","go","0"
"pit-trial","176","1812251","0.0-117.0","battery-v0.2","","","-1","","","y","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","113","9","1","win","go","0"
"pit-trial","177","1817110","0.0-118.0","battery-v0.2","","","-1","","","h","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","114","8","4","lose","no-go","0"
"pit-trial","178","1821966","0.0-119.0","battery-v0.2","","","-1","","","m","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","115","11","1","win","go","0"
"pit-trial","179","1826823","0.0-120.0","battery-v0.2","","","-1","","","r","elianto","#f73b6a7A"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","116","10","3","lose","go","1"
"pit-trial","180","1831682","0.0-121.0","battery-v0.2","","","-1","","","r","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","117","10","3","lose","go","0"
"pit-trial","181","1836541","0.0-122.0","battery-v0.2","","","-1","","","h","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","118","8","4","lose","no-go","0"
"pit-trial","182","1841397","0.0-123.0","battery-v0.2","","","-1","","","m","elianto","#3366ff99"," ","-1","0","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","119","11","1","win","go","1"
"pit-trial","183","1846254","0.0-124.0","battery-v0.2","","","-1","","","y","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","120","9","1","win","go","0"
"pit-trial","184","1851110","0.0-125.0","battery-v0.2","","","-1","","","m","elianto","#3366ff99"," ","-1","0","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","121","11","1","win","go","1"
"pit-trial","185","1855964","0.0-126.0","battery-v0.2","","","-1","","","h","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","122","8","4","lose","no-go","0"
"pit-trial","186","1860822","0.0-127.0","battery-v0.2","","","-1","","","y","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","123","9","1","win","go","0"
"pit-trial","187","1865680","0.0-128.0","battery-v0.2","","","-1","","","r","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","124","10","3","lose","go","0"
"pit-trial","188","1870535","0.0-129.0","battery-v0.2","","","-1","","","m","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","125","11","1","win","go","0"
"pit-trial","189","1875389","0.0-130.0","battery-v0.2","","","-1","","","h","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","126","8","4","lose","no-go","0"
"pit-trial","190","1880245","0.0-131.0","battery-v0.2","","","-1","","","r","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","127","10","3","lose","go","0"
