"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pit-instructions","18","752550","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4130.699999999255},{""page_index"":1,""viewing_time"":4713.39999999851},{""page_index"":2,""viewing_time"":178710.40000000224},{""page_index"":3,""viewing_time"":803.3000000007451},{""page_index"":2,""viewing_time"":1763.8999999985099},{""page_index"":3,""viewing_time"":199227.3999999985},{""page_index"":4,""viewing_time"":30847.900000002235},{""page_index"":5,""viewing_time"":9686.099999997765}]","429883.80000000075","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","19","756181","0.0-1.0-4.0-0.0","battery-v0.2","","1121.5","&#9761;","elianto","#3366ff99","-1","32","0","0","1622.199999999255","1","0","2","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","20","760696","0.0-1.0-4.0-1.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","21","765211","0.0-1.0-4.0-2.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","22","769724","0.0-1.0-4.0-3.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","23","774239","0.0-1.0-4.0-4.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"call-function","24","774243","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","25","849994","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6243.10000000149},{""page_index"":1,""viewing_time"":44744.5},{""page_index"":2,""viewing_time"":5565.300000000745},{""page_index"":3,""viewing_time"":4789.89999999851},{""page_index"":4,""viewing_time"":14406.300000000745}]","75750.20000000298","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","26","854505","0.0-1.0-7.0-0.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","27","859020","0.0-1.0-7.0-1.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
